company_name,status,size,suburb/town,state,ABN,URL
MacMasters Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Kincumber          ","
            NSW          ",62774260161,https://www.acnc.gov.au/charity/dbbfde6cd803f9a5790ed3af224f4b49
Maroubra Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Maroubra          ","
            NSW          ",43649693151,https://www.acnc.gov.au/charity/54ba3a773e83fa2bcb33be5487924bc0
Miami Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Miami          ","
            QLD          ",94449171880,https://www.acnc.gov.au/charity/d6997b7cc5e7c671d9e81efbf5516200
Mission Beach Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            South Mission Beach          ","
            QLD          ",75890357071,https://www.acnc.gov.au/charity/1c2d96de5579b4f3a38c35651025c1cd
Mollymook Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Mollymook          ","
            NSW          ",26143432047,https://www.acnc.gov.au/charity/b80a1dcdc481f901eae30d7381e3fd99
Mooloolaba Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Mooloolaba          ","
            QLD          ",47784043829,https://www.acnc.gov.au/charity/c75d418b794a76082e644c8be301d8ef
Moruya Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Moruya Heads          ","
            NSW          ",72996492001,https://www.acnc.gov.au/charity/52fd03ddd1651bcb5df4e875f7cb71f2
Mullaloo Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Mullaloo          ","
            WA          ",41509966737,https://www.acnc.gov.au/charity/c37c3301997d21d27a94c98b4a8ceb45
Narooma Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Narooma          ","
            NSW          ",52035469607,https://www.acnc.gov.au/charity/8930c12f4b0fc2ebf83ff49e8fcc3d3d
Nobby's Beach Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Miami          ","
            QLD          ",40126679047,https://www.acnc.gov.au/charity/0b6c22bcf0224b781cfbb62b76c70444
Noosa Heads Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Noosa Heads          ","
            QLD          ",66935523192,https://www.acnc.gov.au/charity/036537c4b396bb92676a9909af217fac
North Avoca Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            North Avoca          ","
            NSW          ",66639566245,https://www.acnc.gov.au/charity/44321a8e56e1ba488f561ccca358a4fa
